Nom Film,Resume,date,heure,Type ,Réalisateur,Acteur,Note presse,Note Public
Louxor,"Quand Hana, britannique qui travaille dans l’humanitaire, revient à Louxor, elle croise Sultan, archéologue de talent et ancien amant. Alors qu’elle erre dans cette vieille ville, hantée par les souvenirs familiers, elle s’efforce de concilier choix du passé et incertitude du présent.","21 juillet 2021
","
1h 26min
","
Drame,
Romance","
Zeina Durra","
Robert De Niro,
Harvey Keitel,
David Proval","2,9","2,6"
Mean Streets,"Dans le quartier des immigrés italiens, la mafia a pris ses marques. Johnny Boy, tête brulée et bagarreur, a emprunté de l'argent à un parrain, sans intention de rembourser. Son ami Charlie, jeune mafioso ambitieux, tente de le protéger de ses créanciers. Mais Johnny Boy est incontrôlable.","12 mai 1976
","
1h 50min
","
Policier,
Drame","
Martin Scorsese","
Kristen Stewart,
Robert Pattinson,
Taylor Lautner","3,8",--
Twilight - Chapitre 2 : tentation,"Abandonnée par Edward, celui qu'elle aime passionnément, Bella ne s'en relève pas. Comment oublier son amour pour un vampire et revenir à une vie normale ? Pour combler son vide affectif, Bella court après le danger et prends des risques de plus en plus i","18 novembre 2009
","
2h 10min
","
Aventure,
Fantastique,
Romance","
Chris Weitz","
Hayden Christensen,
Samuel L. Jackson,
Jamie Bell","2,2",--
Jumper,"David Rice a toujours cru qu'il était un jeune homme comme les autres. Jusqu'à ce qu'il découvre, un jour où il frôle la mort, qu'il est doué d'un fantastique pouvoir... David est un Jumper, ce qui lui permet de se téléporter dans n'importe quel endroit.","20 février 2008
","
1h 35min
","
Aventure,
Science Fiction,
Thriller","
Doug Liman","
Jamie Foxx,
Quvenzhané Wallis,
Rose Byrne","2,7",--
Annie,"Alors qu’elle était bébé, les parents de la petite Annie l’ont laissée en promettant de revenir la chercher un jour. Depuis, Annie garde espoir, même si la vie dans le foyer d’accueil de la méchante Miss Hannigan est loin d’être facile...","25 février 2015
","
1h 57min
","
Famille,
Comédie musicale","
Will Gluck","
Lyndsy Fonseca,

Michael Doneger,
Bruce Campbell","2,6",--
The Escort,Un journaliste accro au sexe et en manque de bonne histoire décide de s'inscrire dans une agence d'escort-girl.,"9 juin 2020
","
1h 28min
","
Comédie,
Drame,
Romance","
Will Slocombe","
Martin Landau,
Johnny Depp,
Bill Murray",--,"4,4"
Ed Wood,"Evocation de la vie d'Ed Wood, réalisateur considéré de son vivant comme le plus mauvais de tous les temps, aujourd'hui adulé et venéré par des milliers d'amateurs de bizarre et de fantastique à travers le monde.","21 juin 1995
","
2h 06min
","
Biopic,
Comédie dramatique,
Fantastique","
Tim Burton","
Cécile de France,
Patrick Bruel,
Ludivine Sagnier",--,"3,5"
Un secret,"L'exploration d'un lourd secret de famille et l'histoire d'une passion, à travers le voyage intérieur de François, un enfant solitaire qui s'invente un frère et imagine le passé de ses parents.","3 octobre 2007
","
1h 40min
","
Drame","
Claude Miller","
Michiel Huisman,
Logan Marshall-Green,
John Carroll Lynch",--,"2,9"
The Invitation,"Par une sombre nuit, Will est invité à un dîner chez son ex-femme et son nouveau mari. Au cours de la soirée, il s'aperçoit que ses hôtes ont d'inquiétantes intentions envers leurs invités.","11 novembre 2016
","
1h 38min
","
Epouvante-horreur,
Thriller","
Karyn Kusama",,,
Tre Piani,"Une série d’événements va transformer radicalement l’existence des habitants d’un immeuble romain, dévoilant leur difficulté à être parent, frère ou voisin dans un monde où les rancœurs et la peur semblent avoir eu raison du vivre ensemble.","10 novembre 2021
","
2h 00min
","
Comédie,
Comédie dramatique,
 Drame","
Nanni Moretti","
Margherita Buy,
Riccardo Scamarcio,
Alba Rohrwacher","3,2","3,6"
"New York, New York","New York est en liesse après la victoire sur le Japon. Jimmy Doyle, saxophoniste et jeune soldat, remplace son uniforme par les habits à la mode et se rend au Starlight Club où la fête est déjà commencée...","26 octobre 1977
","
2h 43min
","
Comédie dramatique,
Musical,
Romance","
Martin Scorsese","
Liza Minnelli,
Robert De Niro,

Lionel Stander","3,8",--
Le Roi cerf,"Van était autrefois un valeureux guerrier du clan des Rameaux solitaires. Défait par l’empire de Zol, il est depuis leur prisonnier et vit en esclave dans une mine de sel. Une nuit, la mine est attaquée par une meute de loups enragés, porteurs d’une mystérieuse peste.","4 mai 2022
","
1h 53min
","
Animation,

Drame","
Masashi Ando,
Masayuki Miyaji","
Fanny Blanchard,
 Anne,
Xavier Fagnon","3,2",--
Videodrome,"Le patron d'une petite chaîne érotique sur le câble capte par hasard un mystérieux programme-pirate dénommé Vidéodrome, qui met en scène tortures et sévices sexuels. Son visionnage provoque peu à peu des hallucinations et autres altérations physiques. La frontière entre réalité et univers télévisuel devient bien mince, et la folie guette...","16 mai 1984
","
1h 28min
","
Drame,
Fantastique,
Epouvante-horreur","
David Cronenberg","
James Woods,
Sonja Smits,
Deborah Harry",--,"3,8"
"Pocahontas, une légende indienne","En l'an 1607, La belle Pocahontas aura-t-elle le pouvoir d'éviter la guerre entre les colons anglais et son peuple, les Powhatan, et de sauvegarder ainsi ses amours avec le fringant aventurier John Smith, qui accompagne les colons ?","22 novembre 1995
","
1h 22min
","
Aventure,
Animation,
Musical","
Mike Gabriel,
Eric Goldberg","
Mathilda May,
Irene Bedard,
Michel Papineschi","2,7","2,7"
Poly,"Cécile, 10 ans, déménage dans le sud de la France avec sa mère, Louise. L’intégration avec les autres enfants du village n’est pas facile. Lorsqu’un cirque de passage s’installe à côté, Cécile découvre que Poly le poney vedette est maltraité .Elle décide de le protéger et d’organiser son évasion ! Poursuivis par Brancalou, l’inquiétant directeur du cirque, et le mystérieux Victor, Cécile et Poly s’embarquent dans une cavale pleine de rebondissements, un véritable voyage initiatique et une incroyable histoire d’amitié…","21 octobre 2020
","
1h 42min
","
Aventure,
Famille","
Nicolas Vanier","
Elisa de Lambert,
François Cluzet,
Julie Gayet","3,1","3,3"
Date limite,"Un homme sur le point de devenir père et son ami peu fréquentable, traversent le pays dans l'espoir d'arriver à temps pour la naissance de l'enfant...","10 novembre 2010
","
1h 35min
","
Comédie","
Todd Phillips","
Robert Downey Jr.,
Zach Galifianakis,
Michelle Monaghan","2,8",--
Rambo II : la mission,John Rambo purge une peine de prison lorsque le Colonel Trautman lui donne la possibilité de sortir pour une mission délicate : avoir la preuve qu'il reste bel et bien des prisonniers américains au Vietnam.,"16 octobre 1985
","
1h 36min
","
Action","
George Pan Cosmatos","
Sylvester Stallone,
Richard Crenna,
Charles Napier",--,"2,4"
Serpico,"Fraîchement sorti de l'académie de police, Frank Serpico commence son service à New York avec une forte idéologie et les valeurs qui lui sont propres. Mais il se rend vite compte qu'il entre dans une vaste machine à corruption. Ne se laissant aller au petit jeu des pots-de-vin, il est rapidement isolé au sein de sa brigade. Alors qu’il s’apprête à révéler ses découvertes au grand jour, aux yeux de ses collègues, Serpico n'est qu'un traître.","22 mai 1974
","
2h 10min
","
Biopic,
Policier,
Drame","
Sidney Lumet","
Al Pacino,
John Randolph,
Jack Kehoe","4,2","3,6"
The Roommate,"Sara, une étudiante, voit sa vie basculer dans l'horreur avec l'arrivée de Rebecca, sa nouvelle colocatrice...","15 juin 2011
","
Drame,
Thriller",,"
Christian E. Christiansen","
Leighton Meester,
Minka Kelly,

Cam Gigandet","2,6",--
Minuscule - La vallée des fourmis perdues,"Dans une paisible vallée, des fourmis noires vivent une série d’aventures extraordinaires après la découverte d’une boîte de sucres, un trésor convoité également par les terribles fourmis rouges !","29 janvier 2014
","
1h 28min
","
Aventure,
Animation,
Famille","
Thomas Szabo,
Hélène Giraud","
Denzel Washington,
Meg Ryan,
Lou Diamond Phillips",--,"3,3"
A l'épreuve du feu,"Pendant la guerre du Golfe, abusé par un pilote novice, le lieutenant-colonel Nathaniel Serling a donné prématurément l'ordre de neutraliser ce qu'il croyait un char ennemi et qui coûta la vie à plusieurs soldats.","8 janvier 1997
","
1h 57min
","
Action,
Drame,
Guerre","
Edward Zwick","
Michèle Mercier,
Robert Hossein,
Jean Rochefort","3,0","3,3"
Angélique marquise des anges,"La jeune Angélique assiste à la fomentation d'un complot entre plusieurs grands du royaume, visant à empoisonner le futur Louis XIV. Afin de la protéger de cette dangereuse découverte, elle est envoyée dans un couvent pour y faire ses études.","8 décembre 1964
","
1h 46min
","
Aventure,
Historique","
Bernard Borderie","
Catherine Deneuve,
Marcello Mastroianni,
Serge Marquand",,
Ça n’arrive qu’aux autres,"La mort accidentelle de leur enfant brise la vie d'un couple. Ils décident alors de se couper du monde pour vivre reclus dans leur appartement, puis décident de partir à l'aventure...","novembre 1971
","
1h 30min
","
Drame","
Nadine Trintignant","
Dylan O'Brien,
Ki Hong Lee,
Kaya Scodelario",,
Le Labyrinthe : La Terre brûlée,"Thomas et les autres Blocards vont devoir faire face à leur plus grand défi, rechercher des indices à propos de la mystérieuse et puissante organisation connue sous le nom de WICKED. Leur périple les amène à la Terre Brûlée, un paysage de désolation rempli d'obstacles inimaginables.","7 octobre 2015
","
2h 13min
","
Action,
Aventure,
Science Fiction","
Wes Ball",,,
Point Break,Une série de braquages spectaculaires aux quatre coins du monde met en péril l’équilibre des marchés financiers. Les criminels opèrent aussi bien en motos dans des gratte-ciels new yorkais qu’en « wingsuits » pour s’échapper d’avions au-dessus de la jungle.,"3 février 2016
","
1h 53min
","
Action","
Ericson Core","
Édgar Ramírez,
Luke Bracey,
Ray Winstone","2,0","2,3"
La Maladroite,"Stella a 6 ans mais rentre pour la première fois à l'école. Joyeuse, exubérante -un peu trop peut-être- c'est une enfant attachante, mais souvent absente. Céline, son institutrice, découvre des bleus suspects sur le corps de l'enfant. Alors maltraitance infantile ou déficit immunitaire ?","19 novembre 2019
","
1h 30min
","
Drame","
Eleonore Faucher","
Isabelle Carré,
Emilie Dequenne,
Elsa Hyvaert","4,2",--
L'Amant de Lady Chatterley,"Constance Chatterley est poussée par son mari infirme à prendre un amant pour avoir un enfant. Attirée par Mellors, le garde-chasse, elle va entretenir avec celui-ci une liaison passionnée en dépit de leur différence de statut social.","2 juillet 2013
","
1h 41min
","
Comédie dramatique","
Marc Allégret","
Danielle Darrieux,
Erno Crisa,
Leo Genn",--,"2,4"
Vendredi 13,Un groupe d'adolescents découvre le camp de Crystal Lake en même temps que le terrifiant Jason Voorhees et ses intentions meurtrières...,"11 février 2009
","
1h 37min
","
Epouvante-horreur","
Marcus Nispel","
Jared Padalecki,
Amanda Righetti,
Derek Mears",--,"3,0"
Fear Street - Partie 1 : 1994,"À la suite d'une tragédie brutale à Shadyside, dans l'Ohio, un groupe d'adolescents rencontre accidentellement le mal ancien responsable d'une série de meurtres brutaux qui sévissent dans leur ville depuis plus de 300 ans.","2 juillet 2021
","
1h 45min
","
Epouvante-horreur","
Leigh Janiak","
Maya Hawke (II),
Charlene Amoia,
David W. Thompson",--,"3,4"
Subway,"Après avoir dérobé des documents compromettants, un homme se réfugié dans l'univers fascinant et agité du métro parisien. Une impitoyable chasse à l'homme s'organise au cours de laquelle d'étranges liens se tissent entre le cambrioleur et sa victime.","10 avril 1985
","
1h 44min
","
Policier","
Luc Besson","
Isabelle Adjani,
Christopher Lambert,
Richard Bohringer","4,5","3,7"
Inside Llewyn Davis,"Llewyn Davis est à la croisée des chemins. Alors qu'un hiver rigoureux sévit sur New York, le jeune homme, sa guitare à la main, lutte pour gagner sa vie comme musicien, et affronte des obstacles qui semblent insurmontables, à commencer par ceux qu'il se crée lui-même.","6 novembre 2013
","
1h 45min
","
Drame,
Musical","
Ethan Coen,
Joel Coen","
Oscar Isaac,
Carey Mulligan,
Justin Timberlake","2,0","2,0"
Le Grand Partage,"Un hiver pire que jamais. Le gouvernement publie un décret obligeant les citoyens français les mieux logés à accueillir chez eux pendant la vague de froid leurs concitoyens en situation précaire. A l’heure du Grand Partage, un vent de panique s’installe à tous les étages dans un immeuble très chic de la capitale.","23 décembre 2015
","
1h 43min
","
Comédie","
Alexandra Leclère","
Karin Viard,
Didier Bourdon,

Valérie Bonneton","3,0","2,7"
Maryland,"De retour du combat, Vincent, victime de troubles de stress post-traumatique, est chargé d’assurer la sécurité de Jessie, la femme d'un riche homme d'affaires libanais, dans sa propriété « Maryland ».","30 septembre 2015
","
1h 38min
","
Drame","
Alice Winocour","
Matthias Schoenaerts,
Diane Kruger,
Paul Hamy","3,4","2,4"
Le Crocodile du Botswanga,"Leslie Konda, jeune footballer français talentueux, repéré à son adolescence par Didier, un agent de faible envergure qui a su le prendre sous sa coupe, vient de signer son premier contrat d’attaquant dans un grand club espagnol.","19 février 2014
","

1h 30min
","
Comédie","
Fabrice Eboué,
Lionel Steketee","
Thomas Ngijol,
Fabrice Eboué,
Claudia Tagbo","2,9",--
The Divide,"Quand une explosion cataclysmique ravage la ville de New York, huit personnes se réfugient dans le sous-sol de leur immeuble. Des tensions et des rivalités apparaissent parmi les rescapés qui survivent grâce aux réserves déclinantes d’eau et de nourriture.","1 mars 2012
","
1h 50min
","
Science Fiction,
Thriller","
Xavier Gens","
Lauren German,
Milo Ventimiglia,
Michael Biehn","4,1",--
Mandela : Un long chemin vers la liberté,"Le film retrace le parcours exceptionnel de Nelson Mandela, de son enfance en milieu rural à son investiture comme premier président de la République d’Afrique du Sud élu démocratiquement.","18 décembre 2013
","

2h 19min
","
Biopic,
Drame","
Justin Chadwick","
Idris Elba,
Naomie Harris,
Tony Kgoroge","4,0",--
La Belle et le Clochard,"Les aventures amoureuses de Lady, ravissant cocker et de Clochard le batard, perturbées par tante Sarah et ses deux adorables chats siamois, Si et Am, diaboliques et sournois.","1 octobre 1955
","
1h 15min
","
Animation,
Famille,
Comédie musicale","
Hamilton Luske,
Clyde Geronimi,
Wilfred Jackson","
Larry Roberts,
Barbara Luddy,
Peggy Lee","3,0",--
Albatros,"Laurent, un commandant de brigade de la gendarmerie d’Etretat, aime son métier malgré une confrontation quotidienne avec la misère sociale. En voulant sauver un agriculteur qui menace de se suicider, il le tue. Sa vie va alors basculer.","3 novembre 2021
","
1h 55min
","
Drame","
Xavier Beauvois","
Jérémie Renier,
Marie-Julie Maille,
Victor Belmondo",--,
Reste la vie,"Une mère célibataire atteinte d'une maladie incurable se démène pour l'avenir de son fils de six ans, lorsqu'elle croise la route d'un séduisant jeune homme.","21 mars 2022
","
1h 44min
","
Drame","
 Ketche","
Aslı Enver,
Kaan Urgancıoğlu",,
Présumé coupable,"Le calvaire d'Alain Marécaux, l'""huissier"" de l'affaire d'Outreau, arrêté en 2001 ainsi que sa femme et 12 autres personnes pour d'horribles actes de pédophilie qu'ils n'ont jamais commis...","7 septembre 2011
","
1h 41min
","
Drame","
Vincent Garenq","
Philippe Torreton,
Wladimir Yordanoff,
Noémie Lvovsky","3,6","4,2"
Diana,"La grande histoire d'amour méconnue entre la princesse Diana et un chirurgien d'origine pakistanaise, 2 ans avant sa mort.","2 octobre 2013
","
1h 53min
","
Biopic,
Drame","
Oliver Hirschbiegel","
Naomi Watts,
Naveen Andrews,
Douglas Hodge","2,4","2,4"
La Promesse,"1914,  la Grande Guerre menace d’éclater tandis que s’effondre le puissant Empire Ottoman. À Constantinople, Michael, jeune étudiant arménien en médecine et Chris, reporter photographe américain, se disputent les faveurs de la belle Ana.","29 novembre 2017
","
2h 13min
","
Drame,
Romance","
Terry George","
Oscar Isaac,
Christian Bale,
Charlotte Le Bon","2,2","3,9"
L'Amour flou,"Romane et Philippe se séparent. Après 10 ans de vie commune,deux enfants et un chien,ils ne s’aiment plus. Enfin… ils ne sont plus amoureux. Mais ils s’aiment,quand même. Beaucoup.Trop pour se séparer vraiment? Bref…C’est flou.","10 octobre 2018
","
1h 37min
","
Comédie","
Romane Bohringer,
Philippe Rebbot","
Romane Bohringer,

Philippe Rebbot,
Rose Rebbot-Bohringer","3,9","3,7"
L'Insoutenable légèreté de l'être,"Le Printemps de Prague vu par un jeune chirurgien passionné par son métier, les femmes et une jeune serveuse devenue photographe qu'il finit par épouser. La beauté du célèbre Printemps, l'arrivée des Soviétiques, l'exil a Genève, le retour en Tchécoslovaquie...","2 mars 1988
","
2h 51min
","
Drame,
Romance","
Philip Kaufman","
Daniel Day-Lewis,

Juliette Binoche,
Lena Olin","2,0","3,6"
Les Aventures de Pinocchio,"Gepetto est un menuisier toscan sans le sou. Afin de combler sa solitude, il décide de se fabriquer un pantin de bois, qu’il prénomme Pinocchio. Son ouvrage terminé, pour oublier la faim qui le tenaille, il va se coucher. Dans la nuit glaciale, la fée Turquoise anime la marionnette qui se comporte dès lors comme un petit garçon de chair et de sang, à la grande joie de Gepetto, qui a toujours rêvé d’avoir un fils.","août 1975
","
2h 15min
","
Comédie dramatique","
Luigi Comencini","
Andrea Balestri,
Nino Manfredi,
Gina Lollobrigida","3,4",--
Saint Amour,"Tous les ans, Bruno fait la route des vins… sans quitter le salon de l’Agriculture ! Mais cette année, son père, Jean, venu y présenter son taureau champion Nabuchodonosor, décide sur un coup de tête de l’emmener faire une vraie route des vins afin de se rapprocher de lui.","2 mars 2016
","
1h 42min
","
Comédie,
Drame","
Benoît Delépine,
Gustave Kervern","
Gérard Depardieu,
Benoît Poelvoorde,
Vincent Lacoste","2,9",--
Trop (peu) d'amour,"Emma, jeune groupie d'un cinéaste, lui envoie un synopsis. Paul, intrigué et séduit par cette lecture, invite Emma chez lui. L'arrivée d'Emma dans la famille du cinéaste va bouleverser l'ordre établi.","25 mars 1998
","
1h 59min
","
Comédie dramatique","
Jacques Doillon","
Lambert Wilson,
Alexia Strési,
Elise Perrier",--,"2,6"
Riddick,"Riddick a été laissé pour mort sur une planète brûlée qui semble exempte de toute vie. Pourtant, il se retrouve rapidement obligé de lutter pour sa survie contre des prédateurs aliens plus mortels que tous les humains qu’il a affrontés au cours de sa vie.","18 septembre 2013
","
1h 59min
","
Action,
Science Fiction","
David Twohy","
Vin Diesel,
Karl Urban,
Katee Sackhoff",--,"2,8"
Le Fantôme De Canterville,"Un fantôme et son valet tentent, sans succès, d'effrayer les nouveaux occupants de leur château…","6 avril 2016
","
1h 36min
","
Comédie,
Fantastique","
Yann Samuell","
Audrey Fleurot,
Michaël Youn,
Michèle Laroque",--,"3,4"
Robots,"Rodney est un jeune robot plein d'idées, mais son village est trop petit pour ses rêves. Il part à Robot Ville rencontrer Bigweld, le plus génial inventeur et bienfaiteur de tous les robots, pour lui proposer ses services...","6 avril 2005
","
1h 31min
","
Aventure,
Animation,
Famille","
Chris Wedge,
Carlos Saldanha","
Ewan McGregor,
Halle Berry,
Greg Kinnear",--,"2,3"
Virus,"Alors qu'ils réparent une avarie provoquée par un typhon dans l'océan Pacifique, les membres de l'équipage du navire ""Sea Star"" aperçoivent l'épave d'un vaisseau de recherches scientifiques russes. Le capitaine Everton, son timonier, Woods et Kelly Foster décident de remonter le navire à la surface dans le but de toucher la prime. A peine ...","17 février 1999
","
1h 40min
","
Epouvante-horreur,
Science Fiction,
Thriller","
John Bruno","
Jamie Lee Curtis,
Donald Sutherland,
Joanna Pacula",--,"4,0"
La Déchirure,"Journaliste au"" New York Times"", Sidney Schanberg est un des rares reporters à rester au Cambodge après la prise de Phnom Penh par les Khmers rouges. L'intervention de son assistant Dith Pran lui sauve la vie...","13 février 1985
","
2h 21min
","
Drame,
Historique,
Guerre","
Roland Joffé","
Sam Waterston,
Haing S. Ngor,
John Malkovich","3,1",--
Route 10,"Elle et Lee sont amis depuis leur plus tendre enfance. Ils partagent tout, et n'ont aucun secret l'un pour l'autre. Jusqu'au jour où Elle échange un baiser avec Flynn, le propre frère de Lee, au cours d'une soirée...","31 octobre 2022
","
1h 22min
","
Action,
Drame,
Thriller","
Omar Naim","
Baraa Alem,
 Fatima Al-Banawi,
Abdulmohsen Alnemr",--,
The Kissing Booth,,"10 avril 2020
","
1h 45min
","
Comédie,
Romance","
Vince Marcello","
Joey King,
Joel Courtney,
Jacob Elordi",,
Trop (peu) d'amour,"Emma, jeune groupie d'un cinéaste, lui envoie un synopsis. Paul, intrigué et séduit par cette lecture, invite Emma chez lui. L'arrivée d'Emma dans la famille du cinéaste va bouleverser l'ordre établi.","25 mars 1998
","
1h 59min
","
Comédie dramatique","
Jacques Doillon","
Lambert Wilson,
Alexia Strési,
Elise Perrier","2,4",--
Minuscule - La vallée des fourmis perdues,"Dans une paisible vallée, des fourmis noires vivent une série d’aventures extraordinaires après la découverte d’une boîte de sucres, un trésor convoité également par les terribles fourmis rouges !","29 janvier 2014
","
1h 28min
","
Aventure,
Animation,
Famille","
Thomas Szabo,
Hélène Giraud","
Mathilde Seigner,
Gérard Lanvin,
Philippe Torreton","3,6",--
Les Enfants Des Justes,"En France en 1942. Blanche et Virgile habitent en zone libre, le long de la ligne de démarcation. Tous deux aident un réseau local de résistants en servant, grâce à la barque de Virgile, de passeurs pour un nombre grandissant de réfugiés. Alors que la guerre s’intensifie, le couple, qui ne peut pas avoir d’enfant, propose un jour de recueillir Sarah, 10 ans, enfant juive qui attend avec impatience ses parents…","23 mars 2022
","
1h 30min
","
Drame,
Historique","
Fabien Onteniente","
Arnold Schwarzenegger,
Emilia Clarke,
Jai Courtney","3,3",--
Terminator Genisys,"Le leader de la résistance John Connor envoie le sergent Kyle Reese dans le passé pour protéger sa mère, Sarah Connor et préserver l'avenir de l’humanité. Des événements inattendus provoquent une fracture temporelle et Sarah et Kyle se retrouvent dans une nouvelle version du passé.","1 juillet 2015
","
2h 06min
","
Action,
Science Fiction","
Alan Taylor","
Koji Yakusho,
Aoi Miyazaki,
Shôta Sometani","3,0",--
Le Garçon et la Bête,"Shibuya, le monde des humains, et Jutengai, le monde des Bêtes... C'est l'histoire d'un garçon solitaire et d'une Bête seule, qui vivent chacun dans deux mondes séparés. Un jour, le garçon se perd dans le monde des Bêtes où il devient le disciple de la Bête Kumatetsu qui lui donne le nom de Kyuta.","13 janvier 2016
","
1h 59min
","
Aventure,
Animation","
Mamoru Hosoda","
Tyler Labine,
Alan Tudyk,
Katrina Bowden","4,3",--
Tucker & Dale fightent le mal,"Tucker et Dale sont deux gentils péquenauds venus se ressourcer en forêt. Ils y rencontrent des étudiants venus faire la fête. Suite à un quiproquo entraînant la mort d’un des jeunes, ces derniers pensent que Tucker et Dale sont des serial killers qui veulent leur peau...","1 février 2012
","
1h 28min
","
Comédie,
Epouvante-horreur","
Eli Craig","
Catherine Deneuve,
Juliette Binoche,
Ethan Hawke","3,8",--
La Vérité,"Fabienne, icône du cinéma, est la mère de Lumir, scénariste à New York. La publication des Mémoires de cette grande actrice incite Lumir et sa famille à revenir dans la maison de son enfance. Mais les retrouvailles vont vite tourner à la confrontation...","25 décembre 2019
","
1h 48min
","
Drame","
Hirokazu Kore-eda","
Lacey Chabert,
Stephen Huszar,
Lini Evans","2,6",--
L'amour revient toujours à Noël,"Sarah est avocate et défend les derniers dossiers de sa mère, décédée récemment. Elle reçoit alors une invitation, qu'elle attribue à son patron, pour passer Noël dans une auberge. Elle y rencontre Ben, le charmant propriétaire, et d'autres clients qui ont reçu la même proposition. Sarah va découvrir qu'elle n'est pas là par hasard…","9 décembre 2021
","
1h 24min
","
Romance","
David Winning","
Lauren German,
Roger Bart,
Heather Matarazzo",--,"3,2"
Hostel - Chapitre II,Trois jeunes filles étudiant à l'étranger pendant l'été découvrent la sinistre réalité qui se cache derrière les murs d'un hôtel slovaque et ses occupants d'origines internationales.,"11 juillet 2007
","
1h 34min
","
Epouvante-horreur","
Eli Roth","
Tom Hulce,
Demi Moore,
Tony Jay",--,"3,8"
Le Bossu de Notre-Dame,"En l'an de grâce 1482 à Paris, Quasimodo, jeune orphelin contrefait, est le sonneur de Notre-Dame. Il vit reclus dans le clocher sous la férule du puissant juge Frollo, son maître...","27 novembre 1996
","
1h 31min
","
Animation,
Drame,
Famille","
Gary Trousdale,
Kirk Wise","
Mia Wasikowska,
Johnny Depp,
Lindsay Duncan","2,7","3,5"
Alice de l'autre côté du miroir,Les nouvelles aventures d'Alice et du Chapelier Fou. Alice replonge au pays des merveilles pour aider ses amis à combattre le Maître du Temps.,"1 juin 2016
","
1h 53min
","
Comédie,
Famille,
Fantastique","
James Bobin","
Benoît Magimel,
Clovis Cornillac,

Alice Taglioni","3,0","2,3"
Les Chevaliers du ciel,"Salon aéronautique de Farnborough, Angleterre. Alors qu'il était en pleine démonstration, un Mirage 2000 a disparu au-dessus de la Mer du Nord. Les capitaines Marchelli et Vallois sont immédiatement envoyés en patrouille pour retrouver l'avion...","9 novembre 2005
","
1h 42min
","
Action","
Gérard Pirès","
Sean Connery,
Shane West,

Peta Wilson","2,4","2,3"
La Ligue des Gentlemen Extraordinaires,"Une équipe de super-héros, composée de grandes figures de la littérature fantastique, s'efforce de combattre le diabolique Fantôme. Ce dernier se prépare en effet à saboter une conférence réunissant les plus grands chefs d'Etat.","1 octobre 2003
","
1h 50min
","
Action,
Fantastique,
Historique","
Stephen Norrington","
Kristen Stewart,
Robert Pattinson,
Taylor Lautner","2,6","2,2"
Twilight - Chapitre 2 : tentation,"Abandonnée par Edward, celui qu'elle aime passionnément, Bella ne s'en relève pas. Comment oublier son amour pour un vampire et revenir à une vie normale ? Pour combler son vide affectif, Bella court après le danger et prends des risques de plus en plus i","18 novembre 2009
","
2h 10min
","
Aventure,
Fantastique,
Romance","
Chris Weitz","
Jean-Michel Balthazar,
Jérémie Renier,
Déborah François","4,3","1,9"
L'Enfant,"Bruno, 20 ans, et Sonia, 18 ans, vivent d'expédients. Sonia vient de donner naissance à Jimmy, leur enfant. L'insouciant Bruno doit alors apprendre à devenir père, lui qui jusqu'alors ne se préoccupait que de l'instant présent.","19 octobre 2005
","
1h 35min
","
Drame","
Jean-Pierre Dardenne,
Luc Dardenne",,,
Hyper Noël,"Scott Calvin exerce la profession de Père Noël depuis huit ans. Mais un jour, il apprend que s'il ne se marie pas avant la fin du mois, il perdra son job. Décidé à rencontrer le grand amour, Scott délègue l'organisation de Noël à son adjoint.","18 décembre 2002
","
1h 43min
","
Comédie,
Famille","
Michael Lembeck","
Tim Allen,
Spencer Breslin,
Elizabeth Mitchell","3,0","3,0"
"Ma belle-famille, Noël et moi","Une jeune femme souhaite demander sa petite amie en mariage lors du repas de Noël, mais ses plans sont chamboulés lorsqu'elle découvre que sa partenaire n'a pas fait son coming-out auprès de ses parents conservateurs.","17 décembre 2020
","
1h 42min
","
Comédie,
Romance","
Clea DuVall","
Kristen Stewart,
Mackenzie Davis,
Mary Steenburgen","3,2",--
Un Noël tout en fleurs,"Poppy Benson, une fleuriste passionnée, s'inscrit au concours floral de Noël de sa ville. Elle espère ainsi remporter le premier prix et sauver la boutique familiale de la faillite. Ses plans sont bouleversés lorsqu'elle rencontre Garrett, son grand rival pendant le concours. Avec","28 décembre 2018
","
1h 30min
","
Romance","
Jake Helgren","
Nicky Whelan,
Miles Fisher,
Daphne Zuniga",--,"3,0"
A Noël mon Prince viendra 3,"Les choses se compliquent pour le Prince Alexander et la princesse Tasha : une visite diplomatique royale à l'étranger les pousse à passer par la ville natale de la jeune femme. Une petite frayeur retarde leur départ, et les amants doivent lutter contre les traditions et répondre aux exigences de chacun.","23 décembre 2021
","
1h 30min
","
Romance","
Marco Deufemia","
Kaitlyn Leeb,
Nick Hounslow,
Josh Dean","4,4","3,7"
Memories,"Avec MEMORIES, Katsuhiro Otomo achève sa transition du manga vers l'animation, déjà largement entamée quelques années auparavant, en 1987 avec AKIRA. Grâce à la complicité de deux autres monstres sacrés de l'animation japonaise, Koji Morimoto et Tensai Okamura, il nous livre un triptyque surréaliste, forcément mâtiné d'une couche de science-fiction.","15 avril 1997
","
1h 53min
","
Animation,
Science Fiction","
Koji Morimoto,
Tensai Okamura,
Katsuhiro Ôtomo","
Marlon Brando,
Maria Schneider,
Maria Michi","5,0","3,0"
